Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
DeSean Jackson,WR,LV,14,292,21,33,0,12,7,12,55.8,19.1
Mike Williams,WR,LAC,16,896,56,79,0,14,8,14,170.6,19.0
Randall Cobb,WR,GB,11,348,32,48,0,11,8,11,65.6,18.9
DeAndre Hopkins,WR,ARI,10,560,56,83,0,11,8,11,105.2,18.8
Stefon Diggs,WR,BUF,17,977,57,82,0,17,11,17,182.5,18.7
Dante Pettis,WR,NYG,3,82,27,40,0,20,13,21,15.3,18.7
Jordan Love,QB,GB,6,131,22,34,9,0,56,56,24.2,18.5
Rodney Smith,RB,CAR,1,26,26,37,0,19,19,19,4.8,18.5
Travis Kelce,TE,KC,16,926,58,82,0,14,10,15,170.8,18.4
Rob Gronkowski,TE,TB,12,634,53,76,0,14,9,14,116.2,18.3
Henry Ruggs III,WR,LV,7,334,48,69,1,11,8,12,60.5,18.1
Jauan Jennings,WR,SF,13,323,25,38,0,12,7,12,58.2,18.0
Amon-Ra St. Brown,WR,DET,16,773,48,75,1,15,13,16,137.3,17.8
Nick Mullens,QB,CLE,1,56,56,100,0,0,54,54,9.9,17.7
Case Keenum,QB,CLE,5,169,34,50,7,0,50,50,29.6,17.5
Adam Thielen,WR,MIN,13,758,58,84,0,13,9,13,132.8,17.5
CeeDee Lamb,WR,DAL,16,881,55,76,1,14,10,15,153.8,17.5
Brevin Jordan,TE,HOU,8,205,26,39,0,14,10,14,35.8,17.5
Chris Godwin,WR,TB,14,833,60,85,0,15,12,16,144.4,17.3
Brandin Cooks,WR,HOU,16,831,52,83,0,16,11,16,141.8,17.1
Robert Woods,WR,LAR,9,543,60,93,1,13,10,14,92.2,17.0
Jeremy McNichols,RB,TEN,13,268,21,29,15,14,26,29,45.6,17.0
Tim Boyle,QB,DET,4,179,45,76,1,0,54,54,30.4,17.0
Diontae Johnson,WR,PIT,16,988,62,91,1,17,11,18,167.4,16.9
Russell Gage,WR,ATL,13,576,44,74,0,16,11,16,97.0,16.8
Gabriel Davis,WR,BUF,15,550,37,52,0,11,6,11,90.9,16.5
Jason Huntley,RB,PHI,1,31,31,42,42,3,42,45,5.1,16.5
DJ Chark Jr.,WR,JAC,3,167,56,84,0,13,4,13,27.4,16.4
Chris Moore,WR,HOU,10,214,21,34,0,10,10,10,34.7,16.2
Quintez Cephus,WR,DET,5,212,42,60,0,10,7,10,34.4,16.2
Amari Cooper,WR,DAL,15,834,56,76,0,12,8,12,134.5,16.1
Mike Davis,RB,ATL,17,594,35,56,23,10,31,33,94.2,15.9
Corey Davis,WR,NYJ,9,450,50,79,0,13,8,13,71.2,15.8
Malcolm Brown,RB,MIA,6,124,21,31,27,4,29,31,19.5,15.7
Jaylen Waddle,WR,MIA,16,903,56,83,0,16,12,16,141.8,15.7
Keenan Allen,WR,LAC,16,972,61,86,0,16,11,16,151.8,15.6
David Johnson,RB,HOU,13,317,24,40,21,13,31,34,49.3,15.6
Hunter Henry,TE,NE,16,735,46,70,0,10,7,10,114.3,15.6
Michael Pittman Jr.,WR,IND,17,979,58,88,1,13,9,14,150.6,15.4
Kadarius Toney,WR,NYG,9,282,31,48,1,20,16,22,43.4,15.4
Byron Pringle,WR,KC,16,556,35,49,0,11,8,11,84.8,15.3
T.Y. Hilton,WR,IND,10,337,34,53,0,11,7,11,51.1,15.2
Jarvis Landry,WR,CLE,12,533,44,70,1,16,11,17,81.0,15.2
Allen Lazard,WR,GB,14,674,48,73,0,9,6,9,102.5,15.2
George Kittle,TE,SF,14,840,60,92,0,11,9,12,127.0,15.1
Breshad Perriman,WR,TB,5,151,30,41,1,12,8,13,22.4,14.8
DJ Moore,WR,CAR,17,992,58,86,1,16,10,17,144.5,14.6
Christian Kirk,WR,ARI,17,894,53,76,0,12,9,12,130.6,14.6
Marquise Brown,WR,BAL,16,924,58,80,0,16,10,16,135.3,14.6
Tyler Boyd,WR,CIN,16,807,50,77,0,12,9,12,116.8,14.5
John Ross,WR,NYG,9,208,23,35,0,10,6,10,30.0,14.4
Garrett Gilbert,QB,WAS,1,55,55,100,0,0,56,56,7.8,14.2
Darnell Mooney,WR,CHI,17,986,58,88,1,14,9,15,138.7,14.1
Dallas Goedert,TE,PHI,15,781,52,79,0,10,7,10,109.0,14.0
K.J. Osborn,WR,MIN,17,774,46,68,0,11,7,11,108.5,14.0
Kyle Pitts,TE,ATL,17,774,46,74,0,14,9,14,108.6,14.0
Mack Hollins,WR,MIA,16,338,21,31,0,8,4,8,46.3,13.7
Joshua Palmer,WR,LAC,15,441,29,42,0,11,8,11,59.9,13.6
Terry McLaurin,WR,WAS,17,1010,59,90,0,13,8,13,136.5,13.5
Van Jefferson,WR,LAR,17,875,51,80,0,10,6,10,118.2,13.5
Calvin Ridley,WR,ATL,5,299,60,87,0,17,10,17,40.1,13.4
Marquez Valdes-Scantling,WR,GB,11,455,41,62,0,12,6,12,61.0,13.4
Pat Freiermuth,TE,PIT,16,683,43,62,0,12,9,12,91.7,13.4
P.J. Walker,QB,CAR,5,126,25,38,6,0,58,58,16.8,13.3
