RK,TIERS,PLAYER NAME,TEAM,POS,AVG.,STD.DEV
229,11,Terrace Marshall Jr.,CAR,WR85,229.8,34.9
230,11,Younghoe Koo,ATL,K9,231.4,31.4
231,11,Pittsburgh Steelers,PIT,DST17,231.7,27.2
232,11,Alec Pierce,IND,WR86,224.3,46.4
233,11,Rodrigo Blankenship,IND,K10,231.1,14.7
234,11,Jason Sanders,MIA,K11,232.7,22.3
235,11,Damien Williams,ATL,RB68,231.2,36.2
236,11,Byron Pringle,CHI,WR87,236.6,26.5
237,11,Jonnu Smith,NE,TE27,241.3,32.9
238,11,Jerick McKinnon,KC,RB69,232.4,42.4
239,11,Adam Trautman,NO,TE28,235.7,32.5
240,11,Trey Sermon,SF,RB70,229.8,45.7
241,12,Myles Gaskin,MIA,RB71,223.9,57.5
242,12,Arizona Cardinals,ARI,DST18,243.8,28.2
243,12,D'Ernest Johnson,CLE,RB72,239.7,35.9
244,12,Nick Folk,NE,K12,240.0,27.9
245,12,William Fuller V,FA,WR88,223.4,38.8
246,12,Braxton Berrios,NYJ,WR89,240.7,26.4
247,12,Brandon McManus,DEN,K13,246.2,17.5
248,12,Baker Mayfield,CAR,QB28,256.0,47.8
249,12,Zay Jones,JAC,WR90,245.3,31.2
250,12,Robbie Gould,SF,K14,247.4,19.2
251,12,Isaiah McKenzie,BUF,WR91,233.4,58.4
252,12,Davis Mills,HOU,QB29,259.0,38.4
253,12,Jake Elliott,PHI,K15,250.3,17.1
254,12,Tennessee Titans,TEN,DST19,249.2,22.5
255,12,Bryan Edwards,ATL,WR92,249.3,23.9
256,12,Jeff Wilson Jr.,SF,RB73,246.5,38.9
257,12,Cincinnati Bengals,CIN,DST20,256.9,35.3
258,12,Carolina Panthers,CAR,DST21,256.8,28.3
259,12,Dan Arnold,JAC,TE29,251.3,33.0
260,12,Rex Burkhead,HOU,RB74,253.9,47.3
261,12,Mo Alie-Cox,IND,TE30,243.4,39.8
262,12,Dustin Hopkins,LAC,K16,259.9,22.1
263,12,Odell Beckham Jr.,FA,WR93,237.2,41.9
264,12,Mike Davis,BAL,RB75,252.2,45.0
265,12,Randall Cobb,GB,WR94,255.4,30.9
